Name,Sector,Circuit Type,Executive Agency,Line Length (cKM),Month Of Completion,Year Of Completion (FY),matched_districts,matched_areas,matched_district_count,matched_area_count,endpoint0_district,endpoint1_district,area0,area1,is_tantransco,capacity_available,capacity_mw,capacity_note
Srikakulam Pooling Station - Angul line,Central,D/C,PGCIL,552.0,DEC-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of existing Seoni-Bina at Gadarwara STPP,Central,D/C,PGCIL,16.0,JAN-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Raipur Pooling station - Wardha line -II,Central,D/C,PGCIL,714.0,MAR-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Wardha - Nizamabad line (Part of Wardha - Hyderabad line),Central,D/C,PGCIL,576.0,MAR-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Agra - Meerut line at Greater Noida,Private,2xS/C,WUPPTCL,11.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Mainpuri-Greater Noida,Private,S/C,WUPPTCL,181.0,AUG-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Narendra (New) - Madhugiri (KTL - TBCB),Private,D/C,KTCL,758.0,SEP-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Mainpuri - Bara Ckt-II,Private,S/C,SEUPPTCL,377.0,DEC-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Lalitpur TPS - Agra (UP) Ckt-I,State,S/C,UPPTCL,337.0,SEP-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of Kadapa (Cuddapah)  - Kolar at N.P. Kunta Pooling
Station",Central,D/C,PGCIL,21.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Pune - Aurangabad at Pune (GIS),Central,2xD/C,PGCIL,58.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Lara STPS - Raigarh (Kotra) line,Central,D/C,PGCIL,36.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Panchkula - Patiala,Central,D/C,PGCIL,131.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of  Meerut - Kaithal at Bagpat (Ckt-II),Central,D/C,PGCIL,61.0,MAY-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Roorkee - Saharanpur line (Quad) (Ckt-I),Central,D/C,PGCIL,37.0,MAY-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Jharkhand Pool (Chandwa) - Gaya (Quad) line,Central,D/C,PGCIL,234.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kanpur (new) - Kanpur (exit),Central,D/C,PGCIL,41.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of 400 kV D/C Baripada - Mendhasal at Pindiabil,Central,2xD/C,PGCIL,112.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Ranchi - Jharkhand Pool line (Chandwa),Central,D/C,PGCIL,138.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Roorkee - Saharanpur line  (Ckt-II),Central,D/C,PGCIL,37.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO  IN of Both Ckt Teesta-III - Kishanganj  at Rangpo,Central,MC+D/C,PGCIL,21.0,JUL-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"Line for swapping of Purnea bay with Sasaram bay at
Biharshariff s/s",Central,D/C,PGCIL,10.0,JUL-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Betul - Khandwa (Quad) line,Central,D/C,PGCIL,338.0,AUG-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Khandwa - Indore line,Central,D/C,PGCIL,344.0,AUG-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Meja - Allahabad line,Central,D/C,PGCIL,56.0,AUG-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"Sasaram - Allahabad line (1 ckt shifted from NR bus to ER bus)
Addition",Central,D/C,PGCIL,6.0,AUG-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Essar Gujarat TPS - Bachau (Tripal),Central,D/C,PGCIL,446.0,SEP-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of One ckt RAPP - Kankroli at Chittorgarh,Central,D/C,PGCIL,28.0,SEP-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Unchahar - Fatehpur line (PUTL-TBCB),Central,D/C,PGCIL,107.0,SEP-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Varanasi - Sarnath (Q),Central,D/C,PGCIL,213.0,OCT-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Gazuwaka - Vijayawada 400KV S/C line at Vemagiri PS,Central,D/C,PGCIL,38.0,DEC-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Navsari - Boisor line  (Balance portion ),Central,D/C,PGCIL,161.0,DEC-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Dehradun - Bagpat line (Q),Central,D/C,PGCIL,330.0,JAN-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Sikar - Jaipur line,Central,D/C,PGCIL,339.0,JAN-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of  One Ckt Parbati Pooling Station - Amritsar at Jalandhar,Central,D/C,PGCIL,34.0,FEB-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"Farakka-Gokarna Portion of Raharhat-Purnea Lin, alongwith
LILO at Farakka & Gokarna to form Farakka - Gokarna line",Central,D/C,PGCIL,238.0,MAR-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Bongaigaon - Siliguri at Alipurduar,Central,D/C,PGCIL,13.0,MAR-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Dadri - Malerkotla at Kaithal,Central,D/C,PGCIL,50.0,MAR-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Nizamabad –Dichpalli line -Ckt-I,Central,D/C,PGCIL,9.0,MAR-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Greater Noida-Sikandrabad,Private,D/C,WUPPTCL,34.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Athena Singhitarai - Raigarh Pooling Station (near Kotra),Private,D/C,ACPL,50.0,MAY-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of both ckt of Patiala - Kaithal at Patran (PTL - TBCB),Private,D/C,PATRANTCL,1.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Jullandhar - Samba line (NRSS-XXIX - TBCB),Private,D/C,SGL,270.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kharagpur  (WBSETCL) - Chaibasa (PG) (P&KTCL - TBCB),Private,D/C,SGL,323.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
RAPP - Shujalpur line (RAPPTCL - TBCB),Private,D/C,SGL,402.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Cuddalore - Naggapattinam,Private,D/C,ITPCL,95.0,AUG-16,2016-17,Cuddalore,Villupuram,1,1,Cuddalore,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Madhugiri - Bidadi (KTL - TBCB),Private,D/C,KTCL,185.0,AUG-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Moradabad-Muzzafarnagar at Hapur,Private,D/C,WUPPTCL,2.0,AUG-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"Mutiara TPP(Coastal Energen Gen. Switchyard) - Tuticorin
Pooling Station (Balance portion)",Private,D/C,CEPL,24.0,OCT-16,2016-17,Thoothukudi,Tirunelveli,1,1,,Thoothukudi,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Uchpinda (RKM Powergen Private Ltd.) - Kotra s/s (Raigarh) line,Private,D/C,RKMPPL,53.0,OCT-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Balco - Dharamjaygar Pooling Station,Private,D/C,BALCO,46.0,DEC-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Avantha Bhandar TPS (Korba West) - Raigarh (Kotra),Private,D/C,KWPCL,37.0,DEC-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Orai - Mainpuri line at Mainpuri,Private,2xD/C,SEUPPTCL,93.0,DEC-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Mainpuri - Aligarh,Private,D/C,SEUPPTCL,186.0,DEC-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kurukshetra - Malerkotla line (NRSSXXXITL - TBCB),Private,D/C,ESSEL,278.0,JAN-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Purulia  - Ranchi (PG) (P&KTCL - TBCB),Private,D/C,SGL,223.0,JAN-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Dgen TPS- Navsari line,Private,D/C,"TOR. POW.
(UNOSUGEN)",210.0,JAN-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Ajmer - Deedwana,Private,S/C,APL,111.0,FEB-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Bikaner - Deedwana,Private,S/C,APL,129.0,FEB-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Hindaun - Alwar,Private,S/C,APL,97.0,FEB-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
JP Nigri TPP - Satna (PG),Private,D/C,JAL,322.0,FEB-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"Interconnection of one ckt of Jhanor - Navsari line with one ckt
of Ukai - Kosamba line",State,D/C,GETCO,1.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Chabra TPS - Anta line at Supercritical Chhabta TPS,State,D/C,RVPNL,3.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of one ckt Raj west -Jodhpur at Jodhpur (New),State,D/C,RVPNL,102.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"400 kV Aurangabad II (Thaptitanda) - 765 kV Aurangabad III
(Ektuni) (Ckt 3 & 4)",State,D/C,MSETCL,10.0,MAY-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Jammalamadugu - Uravakonda,State,D/C,APTRANSCO,255.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Jodhpur - Merta line at Jodhpur (New),State,D/C,RVPNL,99.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Rasipalayam - Anaikadavu,State,D/C,TANTRANSCO,77.0,JUN-16,2016-17,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Thappakundu - Anaikadavu,State,D/C,TANTRANSCO,358.0,JUN-16,2016-17,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Srinagar HEP - Sringar 400 kV S/S.,State,D/C,PTCUL,28.0,JUL-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of both ckt of  MTPS stage III - Arasur (PGCIL) at
Karamadai",State,M/C,TANTRANSCO,124.0,AUG-16,2016-17,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Suryapet - Nandiwanaparthi (part of Suryapet- Shankarpally line),State,D/C,TSTRANSCO,240.0,AUG-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Kayathar - Karaikudi line at 400 kV Kamudhi s/s,State,D/C,TANTRANSCO,223.0,SEP-16,2016-17,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Anpara B - Anpara D (2nd ckt),State,D/C,UPPTCL,5.0,SEP-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of 400 kV Agra (UP) - Muradnagar 400 kV S/C line at Agra
(UP) 765/400 kV S/S",State,D/C,UPPTCL,156.0,SEP-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of one ckt of 400 kV Agra (UP) - Agra (PG) 400 kV D/C line
at Agra (UP) 765/400 kV S/S",State,D/C,UPPTCL,73.0,SEP-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"Kamavarapukota - Surypet (Kamavarrapukota -
Chinnakorukondi)",State,D/C,APTRANSCO,179.0,OCT-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kamavarapukota - Surypet ( Chinnakorukondi - Suryapet),State,D/C,TSTRANSCO,170.0,OCT-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Tungabhadra river - Yemmiganur,State,D/C,APTRANSCO,43.0,NOV-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Veltoor - Thungabhadra River (Q) line,State,D/C,TSTRANSCO,147.0,NOV-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Raita - Jagadalpur line,State,D/C,CSPTCL,657.0,DEC-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Koradi-II - Koradi-III (Ckt-I),State,D/C,MSETCL,38.0,DEC-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Phagi GSS (Jaipur) - Heerpura line,State,D/C,RVPNL,104.0,DEC-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Karaikudi - Kamudhi,State,D/C,TANTRANSCO,220.0,DEC-16,2016-17,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Tirunelveli (Abishekapatty) - Kanarpatty,State,S/C,TANTRANSCO,15.0,DEC-16,2016-17,Tirunelveli,Tirunelveli,1,1,Tirunelveli,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Vizag - Khammam (Ckt-I) at Asupaka,State,D/C,TSTRANSCO,34.0,DEC-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Naranoor  - Ghani line,State,D/C,APTRANSCO,33.0,JAN-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of 400 kV Solapur - Kolhapur PGCIL line for 400 kV Alkud
S/S",State,D/C,MSETCL,25.0,JAN-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Koradi II to Koradi -III line (ckt.II),State,D/C,MSETCL,38.0,FEB-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Jeerat - KTPS 400 kV S/C at N. Chanditala,State,D/C+S/C,WBSETCL,7.0,FEB-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Charanka - Veloda Line,State,D/C,GETCO,199.0,MAR-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kirori - Jind line (Ckt-II),State,D/C,HVPNL,50.0,MAR-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of Chandrapur-Parli S/C line for 400KV Nanded
(Khumbhargaon)",State,D/C,MSETCL,80.0,MAR-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of 400kV Gajwel - Yeddumailaram (Shankarpally) ckt-I at
400 kV Narsapur SS.",State,D/C,TSTRANSCO,6.0,MAR-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Gladni - Hiranagar at Samba (PG),Central,D/C,PGCIL,28.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of Birpara - Salakati line at Alipurduar (New Pooling
Station)",Central,D/C,PGCIL,5.0,MAR-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Jorethang HEP - New Melli,Private,D/C,DEPL,20.0,NOV-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Sujangarh - Deedwana,Private,D/C,APL,60.0,FEB-17,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
N P Kunta PS - 400 kV N P Kunta (PGCIL) S/S,State,D/C,APTRANSCO,4.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Kasor-Botad at Dhuvaran CCPP-III,State,D/C,GETCO,81.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kashang - Bhaba (2nd Ckt),State,D/C,HPPTCL,39.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of 220 kV Katni - Satna at PGCIL Satna,State,D/C,MPPTCL,1.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Aau - Badisid,State,D/C,RVPNL,118.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Jodhpur (GSS) - Jodhpur at Barli,State,D/C,RVPNL,1.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Kota (PG) -Bhilwara at Mandalgarh,State,D/C,RVPNL,40.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of Gummidipoondi - M/s Michelin Tyres line at
Thervoykandigai 400 kV S/S",State,D/C,TANTRANSCO,2.0,APR-16,2016-17,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Parigi 220 kV S/S - Shankarpally 400 kV S/S,State,D/C,TSTRANSCO,90.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Ramagundam - Mandamarri  (Bellampally) (2nd Ckt),State,D/C,TSTRANSCO,34.0,APR-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of 2nd Ckt Shahbad - Pehowa at Durala,State,D/C,HVPNL,6.0,MAY-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Ranasan - Karamsad at Barejadi S/S,State,D/C,GETCO,15.0,MAY-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of  Kolhapur - Sawantwadi at Mudhaltitta (Bidri)S/S (Tap
line, Ckt-II)",State,D/C,MSETCL,13.0,MAY-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Tap on Babhaleshwar - Chalisgaon for Kopergaon S/S (Ckt-II),State,D/C,MSETCL,11.0,MAY-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Ferozepur - Talwandi Bhai line at Sadiq,State,D/C,PSTCL,48.0,MAY-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Baghpat  - Baghpat (PG),State,S/C,UPPTCL,15.0,MAY-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Sahupuri-Bhelupur,State,D/C,UPPTCL,29.0,MAY-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kharagpur - Egra,State,D/C,WBSETCL,107.0,MAY-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
RTPP (Muddanur) - Chinakampalli,State,D/C,APTRANSCO,121.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Uravakonda - Vajrakarur,State,D/C,APTRANSCO,32.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of Both ckt of 220 KV Jamanwada - Varsana at Bhachunda
(AL-59) M/C",State,2xD/C,GETCO,83.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
A5(Faridabad) - A4(Faridabad) (Ckt-I),State,D/C,HVPNL,8.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Pithampur - Indore line at 220kV Pithampur-II s/s,State,D/C,MPPTCL,15.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of one ckt of 220kV Bhopal - Ashta line at Mungaliyachhap
s/s",State,D/C,MPPTCL,52.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO on 220 kV Kandalgaon Topworth for M/s Pioneer Gas
Power Ltd.",State,D/C,MSETCL,1.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kanjali - Science city line (Jalandhar),State,D/C,PSTCL,30.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of GGSSTP - Jamsher at Jadla,State,D/C,PSTCL,21.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Ganguwal - Mohali at Majra,State,D/C,PSTCL,21.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Malout - GNDTP Bhatinda at Badal,State,D/C,PSTCL,50.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Rajpura - Lalru,State,D/C,PSTCL,59.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Bhadla-Kanasar,State,D/C,RVPNL,63.0,JUN-16,2016-17,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Deviakurichy - Pudhansanthai at Valayapatty,State,D/C,TANTRANSCO,52.0,JUN-16,2016-17,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Existing SP Koil - Thiruvalam at Kanchipuram S/S,State,D/C,TANTRANSCO,1.0,JUN-16,2016-17,Kancheepuram,Chennai South,1,1,,Kancheepuram,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Existing Sunguvarchatram - Arni at Kanchipuram S/S,State,D/C,TANTRANSCO,16.0,JUN-16,2016-17,Kancheepuram,Chennai South,1,1,,Kancheepuram,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Kalpakkam - Arani at Purisai,State,D/C,TANTRANSCO,24.0,JUN-16,2016-17,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of Siruseri - Taramani (Kids park) line at 400 kV
Ottiyambakkam S/S",State,D/C,TANTRANSCO,5.0,JUN-16,2016-17,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
